iter,ns,epot,ekin,etot,T,t
100,9.999999999999999e-05,-826.9751691068981,421.90167236328125,-405.07349674361683,486.3930796945755,2.04429292678833
200,0.00019999999999999998,-60.680885856520206,344.873779296875,284.1928934403548,397.590790950165,4.184649705886841
300,0.00030000000000000003,-343.45437111617883,289.6233825683594,-53.83098854781946,333.89488173843216,6.318390369415283
400,0.00039999999999999996,-700.7943275327327,270.8882141113281,-429.9061134214046,312.29587684857813,8.316884756088257
500,0.0005,-1122.5686540718336,254.28819274902344,-868.2804613228102,293.15839519751034,10.267018556594849
600,0.0006000000000000001,-1216.9870203816845,254.4564971923828,-962.5305231893017,293.3524264656807,12.28441858291626
700,0.0007,-1860.2751671351064,255.73635864257812,-1604.5388084925282,294.82792607405116,14.396247386932373
800,0.0007999999999999999,-492.8690065609932,253.2870635986328,-239.58194296236042,292.0042345896538,16.326984882354736
900,0.0009,-1156.2373504953785,250.60169982910156,-905.6356506662769,288.9083891841445,18.259265899658203
